tbl;Year;quarter;citymarketid_1;citymarketid_2;city1;city2;cur_passengers;cur_fare;ly_fare;ly_passengers;amount_change;percent_change;amount_change_pax;percent_change_pax;Geocoded_City1;Geocoded_City2
Table 4;2,020;4;31,057;33,495;Charlotte, NC;New Orleans, LA;15,160;138.19;232.91;32,440;-94.72;-0.4067;-17,280;-0.5327;;
Table 4;2,020;4;31,453;31,123;Houston, TX;St. Louis, MO;33,840;143.39;245.00;62,790;-101.61;-0.4147;-28,950;-0.4611;;
Table 4;2,020;4;31,453;31,481;Houston, TX;Panama City, FL;9,990;140.17;243.01;8,970;-102.85;-0.4232;1,020;0.1137;;
Table 4;2,020;4;31,453;33,158;Houston, TX;Midland/Odessa, TX;26,450;158.17;294.44;70,260;-136.27;-0.4628;-43,810;-0.6235;;
Table 4;2,020;4;31,453;33,728;Houston, TX;Pensacola, FL;11,330;139.12;245.30;11,700;-106.18;-0.4329;-370;-0.0316;;
Table 4;2,020;4;31,703;31,454;New York City, NY (Metropolitan Area);Orlando, FL;257,380;104.10;178.88;1,033,200;-74.79;-0.4181;-775,820;-0.7509;;
Table 4;2,020;4;31,714;32,211;Fort Myers, FL;Las Vegas, NV;7,140;206.60;348.68;12,170;-142.08;-0.4075;-5,030;-0.4133;;
Table 4;2,020;4;32,211;31,703;Las Vegas, NV;New York City, NY (Metropolitan Area);102,290;159.13;276.70;394,090;-117.57;-0.4249;-291,800;-0.7404;;
Table 4;2,020;4;32,211;34,524;Las Vegas, NV;Richmond, VA;10,800;179.55;306.12;17,530;-126.57;-0.4135;-6,730;-0.3839;;
Table 4;2,020;4;32,467;30,559;Miami, FL (Metropolitan Area);Seattle, WA;41,240;181.10;330.27;79,000;-149.18;-0.4517;-37,760;-0.4780;;
Table 4;2,020;4;32,575;32,467;Los Angeles, CA (Metropolitan Area);Miami, FL (Metropolitan Area);187,410;195.02;330.59;336,330;-135.57;-0.4101;-148,920;-0.4428;;
Table 4;2,020;4;32,575;34,100;Los Angeles, CA (Metropolitan Area);Philadelphia, PA;80,350;178.22;300.53;224,440;-122.31;-0.4070;-144,090;-0.6420;;
Table 4;2,020;4;34,100;33,195;Philadelphia, PA;Tampa, FL (Metropolitan Area);53,440;107.53;181.54;136,680;-74.01;-0.4077;-83,240;-0.6090;;
Table 4;2,020;4;34,100;34,057;Philadelphia, PA;Portland, OR;9,140;175.96;304.56;24,220;-128.60;-0.4222;-15,080;-0.6226;;
Table 4;2,020;3;30,140;30,194;Albuquerque, NM;Dallas/Fort Worth, TX;17,710;140.29;234.79;52,350;-94.50;-0.4025;-34,640;-0.6617;;
Table 4;2,020;3;30,140;30,977;Albuquerque, NM;Chicago, IL;8,730;163.64;276.11;34,740;-112.47;-0.4073;-26,010;-0.7487;;
Table 4;2,020;3;30,140;31,453;Albuquerque, NM;Houston, TX;8,280;157.75;264.11;30,050;-106.36;-0.4027;-21,770;-0.7245;;
Table 4;2,020;3;30,194;31,267;Dallas/Fort Worth, TX;Dayton, OH;8,160;165.77;318.29;12,930;-152.52;-0.4792;-4,770;-0.3689;;
Table 4;2,020;3;30,194;34,321;Dallas/Fort Worth, TX;Portland, ME;6,460;126.29;315.80;10,730;-189.51;-0.6001;-4,270;-0.3980;;
Table 4;2,020;3;30,194;35,380;Dallas/Fort Worth, TX;Traverse City, MI;6,690;202.70;344.17;7,550;-141.48;-0.4111;-860;-0.1139;;
Table 4;2,020;3;30,255;30,852;Huntsville, AL;Washington, DC (Metropolitan Area);7,010;195.25;330.61;37,480;-135.36;-0.4094;-30,470;-0.8130;;
Table 4;2,020;3;30,257;30,977;Albany, NY;Chicago, IL;7,860;141.77;272.88;32,630;-131.11;-0.4805;-24,770;-0.7591;;
Table 4;2,020;3;30,397;31,057;Atlanta, GA (Metropolitan Area);Charlotte, NC;8,740;157.37;266.50;43,030;-109.12;-0.4095;-34,290;-0.7969;;
Table 4;2,020;3;30,397;33,244;Atlanta, GA (Metropolitan Area);Memphis, TN;16,280;148.76;253.58;39,530;-104.82;-0.4134;-23,250;-0.5882;;
Table 4;2,020;3;30,397;34,492;Atlanta, GA (Metropolitan Area);Raleigh/Durham, NC;23,690;130.20;219.56;92,660;-89.36;-0.4070;-68,970;-0.7443;;
Table 4;2,020;3;30,408;30,466;Appleton, WI;Phoenix, AZ;6,230;99.21;190.14;7,840;-90.93;-0.4782;-1,610;-0.2054;;
Table 4;2,020;3;30,423;30,693;Austin, TX;Nashville, TN;14,280;145.69;255.28;39,250;-109.59;-0.4293;-24,970;-0.6362;;
Table 4;2,020;3;30,423;31,123;Austin, TX;St. Louis, MO;11,430;126.95;227.31;30,400;-100.36;-0.4415;-18,970;-0.6240;;
